# tools/english/messages.tsv — Diagnose- und Ausgabetexte, deutsch -> englisch.
# Links steht der EXAKTE Rumpf des Zeichenkettenliterals aus dem Quelltext
# (mit Maskierungen wie \0, \n, \"), rechts der englische Rumpf.
# Beide Uebersetzer teilen diese Tabelle, damit firnc0 und firnc1
# ZEICHENGLEICHE Meldungen ausgeben. Angewandt von messages.py.
    # asm (volatile): darf weder entfernt noch verschoben werden	    # asm (volatile): must be neither removed nor moved
    # barrier: undurchsichtig fuer jeden Optimierungsdurchgang	    # barrier: opaque to every optimization pass
'main' muss ohne parameter oder mit genau einem 'u64' deklariert sein und 'i32' zurueckgeben	'main' must be declared without parameters or with exactly one 'u64' and must return 'i32'
'main' zweimal muss ein Fehler sein	'main' twice must be an error
'match' arbeitet auf aufzaehlungen, ganzzahlen und bool, nicht auf {}	'match' works on enums, integers and bool, not on {}
'match' auf einem nicht unterstuetzten typ	'match' on an unsupported type
'match' braucht mindestens einen fall	'match' needs at least one arm
'match' innerhalb einer generischen vorlage wird in dieser stufe nicht unterstuetzt	'match' inside a generic template is not supported in this stage
'match' ist nicht vollstaendig: der fall {} fehlt	'match' is not exhaustive: the arm {} is missing
'match' ist nicht vollstaendig: {} nicht abgedeckt	'match' is not exhaustive: {} not covered
'match' ueber {} ist nicht vollstaendig: es fehlt ein fall fuer alle uebrigen werte	'match' over {} is not exhaustive: an arm for all remaining values is missing
'needs' erwartet einen namen und einen pfad	'needs' expects a name and a path
'needs' erwartet einen namen und einen pfad\0	'needs' expects a name and a path\0
'package' erwartet genau einen namen	'package' expects exactly one name
'package' erwartet genau einen namen\0	'package' expects exactly one name\0
'package' steht mehrfach	'package' appears more than once
'package' steht mehrfach im manifest	'package' appears more than once in the manifest
'package' steht mehrfach im manifest\0	'package' appears more than once in the manifest\0
'public' erwartet mindestens einen modulnamen	'public' expects at least one module name
'public' erwartet mindestens einen modulnamen\0	'public' expects at least one module name\0
'return' erwartet typ {}, gefunden {}	'return' expects type {}, found {}
'return' ohne wert, erwartet wird ein wert vom typ {}	'return' without value, a value of type {} is expected
'secure_zero' mit falscher argumentzahl im lowering	'secure_zero' with wrong argument count in lowering
'select' arbeitet nur auf skalaren werten, gefunden {}	'select' only works on scalar values, found {}
'select' mit falscher argumentzahl im lowering	'select' with wrong argument count in lowering
'size_of' nimmt keine argumente	'size_of' takes no arguments
'size_of[void]' ist nicht sinnvoll	'size_of[void]' is not meaningful
'source' erwartet genau einen pfad	'source' expects exactly one path
'source' erwartet genau einen pfad\0	'source' expects exactly one path\0
'stark' wertet einen schwachen verweis auf	'strong' upgrades a weak reference
'start' erwartet genau einen pfad	'start' expects exactly one path
'start' erwartet genau einen pfad\0	'start' expects exactly one path\0
'start' steht mehrfach im manifest	'start' appears more than once in the manifest
'start' steht mehrfach im manifest\0	'start' appears more than once in the manifest\0
'syscall' erwartet 1 bis 7 argumente (nummer und bis zu 6 werte), gefunden {}	'syscall' expects 1 to 7 arguments (number and up to 6 values), found {}
'syscall' gibt es im profil 'kernel' nicht	'syscall' does not exist in profile 'kernel'
'syscall'-argument muss ganzzahl- oder zeigertyp sein, gefunden {}	'syscall' argument must be an integer or pointer type, found {}
'try' erwartet einen wert einer fehlerunion, gefunden {}	'try' expects a value of an error union, found {}
'try' ist nur in einer funktion mit fehlerunions-rueckgabetyp erlaubt, diese liefert {}	'try' is only allowed in a function with an error union return type, this one returns {}
'try' liefert fehler der menge '{}', die funktion liefert fehler der menge '{}'	'try' yields errors of the set '{}', the function yields errors of the set '{}'
'try' ohne fehlerunion	'try' without error union
'try' ohne operand	'try' without operand
'version' erwartet genau eine versionsnummer	'version' expects exactly one version number
'version' erwartet genau eine versionsnummer\0	'version' expects exactly one version number\0
'version' steht mehrfach	'version' appears more than once
'version' steht mehrfach im manifest	'version' appears more than once in the manifest
'version' steht mehrfach im manifest\0	'version' appears more than once in the manifest\0
'{who}' ist #[no_gc], alloziert aber ueber '{}' auf dem GC-Heap	'{who}' is #[no_gc], but allocates on the GC heap via '{}'
'{who}' ist #[no_gc], ruft aber '{}' ohne #[no_gc]	'{who}' is #[no_gc], but calls '{}' without #[no_gc]
'{who}' ist #[no_gc], ruft aber die methode '{m}'	'{who}' is #[no_gc], but calls the method '{m}'
'{who}' ist #[no_gc], schreibt aber in {what}	'{who}' is #[no_gc], but writes into {what}
'{}' auch ohne Sammlungen dabei	'{}' present even without collections
'{}' erwartet als argument einen u64, gefunden {}	'{}' expects a u64 as argument, found {}
'{}' erwartet als drittes argument einen zeiger auf das tidwort, gefunden {}	'{}' expects a pointer to the tid word as third argument, found {}
'{}' erwartet als erstes argument einen *mut u64, gefunden {}	'{}' expects a *mut u64 as first argument, found {}
'{}' erwartet als erstes argument einen zeiger, gefunden {}	'{}' expects a pointer as first argument, found {}
'{}' erwartet als stapel einen u64, gefunden {}	'{}' expects a u64 as stack, found {}
'{}' erwartet als zweites argument einen u64, gefunden {}	'{}' expects a u64 as second argument, found {}
'{}' erwartet den empfaenger als wert, gefunden {}	'{}' expects the receiver as a value, found {}
'{}' erwartet den schnittstellenwert selbst, gefunden {}	'{}' expects the interface value itself, found {}
'{}' erwartet einen u64, gefunden {}	'{}' expects a u64, found {}
'{}' erwartet einen zeiger, gefunden {}	'{}' expects a pointer, found {}
'{}' erwartet genau drei argumente (argument, stapel, tidwort), gefunden {}	'{}' expects exactly three arguments (argument, stack, tid word), found {}
'{}' erwartet genau drei argumente (zeiger, erwartet, neu), gefunden {}	'{}' expects exactly three arguments (pointer, expected, new), found {}
'{}' erwartet genau ein argument (die adresse), gefunden {}	'{}' expects exactly one argument (the address), found {}
'{}' erwartet genau ein argument, gefunden {}	'{}' expects exactly one argument, found {}
'{}' erwartet genau zwei argumente (adresse, wert), gefunden {}	'{}' expects exactly two arguments (address, value), found {}
'{}' erwartet genau zwei argumente (zeiger, summand), gefunden {}	'{}' expects exactly two arguments (pointer, addend), found {}
'{}' erwartet keine argumente, gefunden {}	'{}' expects no arguments, found {}
'{}' erwartet {} argument(e), gefunden {}	'{}' expects {} argument(s), found {}
'{}' erwartet {} typargument(e), bekommen {}	'{}' expects {} type argument(s), got {}
'{}' hat alle methoden von '{}'; es fehlt der block 'impl {} for {} {{ … }}'	'{}' has all methods of '{}'; the block 'impl {} for {} {{ … }}' is missing
'{}' hat keine methode; es fehlt nur 'impl {} for {}'	'{}' has no method; only 'impl {} for {}' is missing
'{}' ist ein interrupt-einsprungpunkt und kann nicht aufgerufen werden	'{}' is an interrupt entry point and cannot be called
'{}' ist eine funktion und kein wert	'{}' is a function and not a value
'{}' ist eine gc-klasse und kann kein wert sein	'{}' is a gc class and cannot be a value
'{}' ist eine gc-klasse: der empfaenger kann keine kopie sein	'{}' is a gc class: the receiver cannot be a copy
'{}' ist eine konstante und kann nicht veraendert werden	'{}' is a constant and cannot be modified
'{}' ist eine schnittstelle und kein typ	'{}' is an interface and not a type
'{}' ist in diesem block bereits deklariert	'{}' is already declared in this block
'{}' ist in einem '{}' nicht erlaubt	'{}' is not allowed in a '{}'
'{}' ist keine bereits deklarierte konstante	'{}' is not an already declared constant
'{}' ist keine funktion und kann nicht aufgerufen werden	'{}' is not a function and cannot be called
'{}' ist mit #[interrupt] gekennzeichnet, das gibt es nur im profil 'kernel'	'{}' is marked with #[interrupt], which exists only in profile 'kernel'
'{}' ist mit #[must_consume] gekennzeichnet	'{}' is marked with #[must_consume]
'{}' ist mit #[unwinds] gekennzeichnet; abwicklung ist im profil 'kernel' verboten	'{}' is marked with #[unwinds]; unwinding is forbidden in profile 'kernel'
'{}' ist mit 'let' gebunden und kann nicht veraendert werden	'{}' is bound with 'let' and cannot be modified
'{}' ist nur auf oberster ebene erlaubt, nicht in einem funktionsrumpf	'{}' is only allowed at top level, not inside a function body
'{}' schreibt {}, gefunden {}	'{}' writes {}, found {}
'{}' setzt die methode '{}.{}' nicht um	'{}' does not implement the method '{}.{}'
'{}' setzt die schnittstelle '{}' bereits um	'{}' already implements the interface '{}'
'{}' setzt die schnittstelle '{}' nicht um	'{}' does not implement the interface '{}'
'{}' steht ausserhalb einer schleife	'{}' is outside a loop
'{}' und '{}'	'{}' and '{}'
'{}' und '{}' sind nicht verwandt	'{}' and '{}' are not related
'{}' wird von modul '{}' nicht exportiert	'{}' is not exported by module '{}'
'{}.{}' hat {} parameter, die schnittstelle '{}' verlangt {}	'{}.{}' has {} parameters, the interface '{}' requires {}
'{}.{}' nennt 'Self' und ist deshalb nicht ueber 'dyn {}' aufrufbar	'{}.{}' mentions 'Self' and is therefore not callable via 'dyn {}'
'{}[T]' ist in Stufe 0 nicht umgesetzt	'{}[T]' is not implemented in stage 0
(erlaubt: package, version, start, source, public, needs)\0	(allowed: package, version, start, source, public, needs)\0
(feld 	(field 
(feld {} {})	(field {} {})
--package erwartet ein Verzeichnis	--package expects a directory
--package-info erwartet ein Verzeichnis	--package-info expects a directory
-o erwartet einen Pfad	-o expects a path
// AllocError wird vom Programm selbst deklariert\n	// AllocError is declared by the program itself\n
// Runde 47: Voreinstellung des Finalisierer-Verteilers. Das Programm\n	// Round 47: default of the finalizer dispatcher. The program\n
// Runde 47: Voreinstellung des Finalisierer-Verteilers. Das Programm\n// deklariert keinen eigenen, also tut das Aufraeumen nichts.\nfn __gc_finalize(kind: u64, p: *mut u8) {\n    let _unused: u64 = kind + (p as u64)\n}\n	// Round 47: default of the finalizer dispatcher. The program\n// declares none of its own, so cleanup does nothing.\nfn __gc_finalize(kind: u64, p: *mut u8) {\n    let _unused: u64 = kind + (p as u64)\n}\n
// Runde 49: Voreinstellung des Fadenverteilers. Das Programm\n	// Round 49: default of the thread dispatcher. The program\n
// Runde 49: Voreinstellung des Fadenverteilers. Das Programm\n// deklariert keinen eigenen, also tut ein Faden nichts.\nfn __thread_work(kind: u64, arg: u64) -> u64 {\n    return kind + arg - kind - arg\n}\n	// Round 49: default of the thread dispatcher. The program\n// declares none of its own, so a thread does nothing.\nfn __thread_work(kind: u64, arg: u64) -> u64 {\n    return kind + arg - kind - arg\n}\n
// __gc_finalize wird vom Programm selbst deklariert\n	// __gc_finalize is declared by the program itself\n
// __thread_work wird vom Programm selbst deklariert\n	// __thread_work is declared by the program itself\n
// deklariert keinen eigenen, also tut das Aufraeumen nichts.\n	// declares none of its own, so cleanup does nothing.\n
// deklariert keinen eigenen, also tut ein Faden nichts.\n	// declares none of its own, so a thread does nothing.\n
32-Bit-Addition muss eine eigene Instruktion bleiben:\n{}	32-bit addition must remain its own instruction:\n{}
<ausdruck>	<expression>
<unbekannt>	<unknown>
Adresse entkommt ueber ptradd	address escapes via ptradd
Adresse muesste einmal ausgerechnet werden:\n{}	address should be computed once:\n{}
AllocError::OutOfMemory fehlt	AllocError::OutOfMemory is missing
Aufrufe einbetten (Groessenheuristik) — macht den Aufrufstapel unlesbar	inline calls (size heuristic) — makes the call stack unreadable
Ausrichtung erzwingen, z. B. #[align(64)] (SPEC 13)	force alignment, e.g. #[align(64)] (SPEC 13)
Block {} ohne Abschluss	block {} without terminator
Blocknummern nicht fortlaufend (Index {}, id {})	block numbers not consecutive (index {}, id {})
Bytes ist kein text	Bytes is not text
CSE hat zugeschlagen:\n{}	CSE struck:\n{}
Dateiende	end of file
Debugzeilen aktiv	debug lines active
Ergebnis darf nicht verworfen werden (SPEC 3.3, 5.1)	result must not be discarded (SPEC 3.3, 5.1)
Felder ohne Auffuellbytes anordnen (SPEC 13)	arrange fields without padding bytes (SPEC 13)
Fixpunkt nach einem Lauf	fixed point after one run
GC-Feld 'elternteil'	GC field 'parent'
GcVec[E] hat eines, GcMap[K, V] hat zwei (SPEC 3.5.2)	GcVec[E] has one, GcMap[K, V] has two (SPEC 3.5.2)
Konstantenfaltung (Bin/Cmp/Un/Cast mit konstanten Operanden)	constant folding (Bin/Cmp/Un/Cast with constant operands)
Layout eingefroren, dafuer wieder einbettbar (DESIGN_GOALS 4)	layout frozen, in exchange embeddable again (DESIGN_GOALS 4)
MMIO-Zugriff	MMIO access
NAME            ZIEL         ARGS  STUFE 0     ZWECK\n	NAME            TARGET       ARGS  STAGE 0     PURPOSE\n
Nachtrag muss fehlerfrei durchlaufen	addendum must run through without errors
Nicht enthalten	not contained
Optimierungsdurchgaenge (Reihenfolge = Ausfuehrungsreihenfolge)\n\nNAME            BEREICH  DEBUGERHALTEND  BESCHREIBUNG\n	optimization passes (order = execution order)\n\nNAME            SCOPE    DEBUG-PRESERVING  DESCRIPTION\n
RA-Grundpfad: {} — {}	RA base path: {} — {}
Rc/Arc/Weak (SPEC §3.4) sind nicht umgesetzt; siehe ACCEPTANCE.md	Rc/Arc/Weak (SPEC §3.4) are not implemented; see ACCEPTANCE.md
SPEC 4.4: 'gc class' hat hoechstens EINE basis	SPEC 4.4: 'gc class' has at most ONE base
Schleifenrumpf greift noch auf den Stack zu:\n{}	loop body still accesses the stack:\n{}
Stapelfaecher zu Werten, Weiterleitung lokaler loads, tote stores	stack slots to values, forwarding of local loads, dead stores
Str16 muss Einheiten liefern	Str16 must yield units
Stufe 0 mit einer klaren Meldung abgelehnt statt still ignoriert.\n	rejected in stage 0 with a clear message instead of silently ignored.\n
U+FFFD erwartet	U+FFFD expected
\\u erwartet genau vier hexadezimalziffern	\\u expects exactly four hexadecimal digits
\\u ist in einem Bytes-literal nicht erlaubt (Bytes ist kein text)	\\u is not allowed in a Bytes literal (Bytes is not text)
\\u{...} erwartet hexadezimalziffern	\\u{...} expects hexadecimal digits
\\u{...} ist nicht abgeschlossen	\\u{...} is not terminated
\\x erwartet genau zwei hexadezimalziffern	\\x expects exactly two hexadecimal digits
\\xNN ueber 0x7F ergibt kein gueltiges UTF-8, schreibe \\u{...}	\\xNN above 0x7F does not yield valid UTF-8, write \\u{...}
\n'Fehler' heisst: das Attribut ist bekannt und geplant, wird aber in\n	\n'error' means: the attribute is known and planned, but is\n
\n// Anweisungsuebersicht (Zeile:Spalte Art)	\n// statement overview (line:column kind)
\nBaustufen: --opt-level=dev | dev-fast | release-safe | release-fast\n'dev-fast' fuehrt nur die debugerhaltenden Durchgaenge aus.\nEinzeln abschalten: --no-pass=<name> (mehrfach erlaubt).\n	\nBuild levels: --opt-level=dev | dev-fast | release-safe | release-fast\n'dev-fast' runs only the debug-preserving passes.\nDisable individually: --no-pass=<name> (may be repeated).\n
abhaengigkeit '{}' heisst wie das paket selbst	dependency '{}' has the same name as the package itself
abhaengigkeit \0	dependency \0
abhaengigkeiten muessen einen kreisfreien graphen bilden	dependencies must form an acyclic graph
abhaengigkeiten muessen einen kreisfreien graphen bilden\0	dependencies must form an acyclic graph\0
absoluter pfad — erlaubt sind nur pfade relativ zur quelldatei	absolute path — only paths relative to the source file are allowed
add_ueber_rax hat ein Register zugesichert	add_via_rax has reserved a register
aggregat als wert (nur adressen erlaubt)	aggregate as value (only addresses allowed)
aggregatrueckgabe ohne ziel	aggregate return without target
als attributname nach '#['	as attribute name after '#['
als registername in einem asm-block	as register name in an asm block
als rueckgabe-, variablen- und parametertyp ist sie erlaubt; im struct hilft ein zeiger	as return, variable and parameter type it is allowed; inside a struct a pointer helps
als vorlage von 'asm'	as template of 'asm'
am anfang der typargumente	at the start of the type arguments
am anfang der typparameterliste	at the start of the type parameter list
am anfang des funktionsrumpfes	at the start of the function body
am anfang des methodenrumpfes	at the start of the method body
am anfang einer funktionsdeklaration	at the start of a function declaration
am anfang eines blocks	at the start of a block
am anfang eines match-falls	at the start of a match arm
am ende der aufzaehlung	at the end of the enum
am ende der export-liste	at the end of the export list
am ende der fehlermenge	at the end of the error set
am ende der gc-klasse	at the end of the gc class
am ende der schnittstelle	at the end of the interface
am ende der structdeklaration	at the end of the struct declaration
am ende der strukturdeklaration	at the end of the structure declaration
am ende des impl-blocks	at the end of the impl block
am ende des struct-literals	at the end of the struct literal
am ende von 'match'	at the end of 'match'
argument {} von '{}' hat typ {}, erwartet {}	argument {} of '{}' has type {}, expected {}
array-literal hat {} elemente, erwartet werden {}	array literal has {} elements, {} are expected
array-literal ohne array-typ	array literal without array type
arraylaenge muss groesser als null sein	array length must be greater than zero
asm-block verschwunden:\n{}	asm block vanished:\n{}
atomar geaendert wird genau ein 64-bit-wort	exactly one 64-bit word is changed atomically
atomar getauscht wird genau ein 64-bit-wort	exactly one 64-bit word is swapped atomically
atomar-primitiv mit falscher stellenzahl	atomic primitive with wrong arity
atomar-tausch mit falscher stellenzahl	atomic swap with wrong arity
attribut '{}' erwartet {} argument(e), gefunden {}	attribute '{}' expects {} argument(s), found {}
attribut '{}' gehoert nicht vor {}	attribute '{}' does not belong before {}
attribut '{}' ist in Stufe 0 nicht umgesetzt	attribute '{}' is not implemented in stage 0
attribut ohne deklaration dahinter	attribute without a declaration after it
attribute an schnittstellen gibt es in dieser stufe nicht	attributes on interfaces do not exist in this stage
aufruf ohne rueckgabewert kann nicht als wert benutzt werden	call without return value cannot be used as a value
aufruf ohne wert an einer wertstelle	call without value in a value position
aufruf: barrier(wert)	call: barrier(value)
aufruf: secure_zero(zeiger, anzahl_bytes)	call: secure_zero(pointer, byte_count)
aufruf: select(bedingung, a, b)	call: select(condition, a, b)
aufruf: syscall(nr, a1, ..., a6)	call: syscall(nr, a1, ..., a6)
aufzaehlung '{}' enthaelt sich selbst (direkt oder indirekt)	enum '{}' contains itself (directly or indirectly)
aufzaehlung '{}' hat keine variante	enum '{}' has no variant
aufzaehlung '{}' hat keine variante '{}'	enum '{}' has no variant '{}'
aufzaehlung '{}' ist bereits deklariert	enum '{}' is already declared
aufzaehlung T	enum T
aufzaehlungskonstruktor ohne aufzaehlung	enum constructor without enum
aufzaehlungskonstruktor ohne aufzaehlungstyp	enum constructor without enum type
aufzaehlungskonstruktor ohne variantennamen	enum constructor without variant name
ausdruck hat keinen skalaren typ	expression has no scalar type
ausdruck ist zu tief verschachtelt (mehr als 200 ebenen)	expression is nested too deeply (more than 200 levels)
ausdruck zu tief verschachtelt	expression nested too deeply
bb0 unveraendert	bb0 unchanged
bedingung von '{}' muss vom typ bool sein, gefunden {}	condition of '{}' must be of type bool, found {}
bei einer gc-allokation muessen ALLE felder angegeben werden	in a gc allocation ALL fields must be given
beide Vorgaenger der Weiche muessen gefaedelt werden	both predecessors of the branch must be threaded
beide zweige von 'select' muessen denselben typ haben, gefunden {} und {}	both branches of 'select' must have the same type, found {} and {}
bekannt sind: {}	known are: {}
bekannt sind: {} (eingebaut: Any, Int, Scalar)	known are: {} (built in: Any, Int, Scalar)
benutze an der Stelle einen zeiger, z. B. '*mut T'	use a pointer there, e.g. '*mut T'
benutze an der stelle einen zeiger, z. B. '*mut T'	use a pointer there, e.g. '*mut T'
benutze einen zeiger ('*mut T') auf die aufzaehlung	use a pointer ('*mut T') to the enum
bereich von 'for' ohne ganzzahltyp	range of 'for' without integer type
bereichsmuster auf nicht skalarem feld	range pattern on a non-scalar field
bereichsmuster passt nicht zum typ {}	range pattern does not fit the type {}
binde es an eine variable oder uebergib es weiter	bind it to a variable or pass it on
binde ihn an eine variable und rufe die methode darauf auf	bind it to a variable and call the method on it
bitweise negation gibt es in stufe 0 nicht, schreibe 'x ^ -1'	bitwise negation does not exist in stage 0, write 'x ^ -1'
block zu tief verschachtelt	block nested too deeply
blockkommentar wird nicht geschlossen ('*/' fehlt)	block comment is not closed ('*/' missing)
brcond mit konstanter Bedingung zu br vereinfachen	simplify brcond with constant condition to br
codepunkt ueber U+10FFFF ist nicht darstellbar	code point above U+10FFFF is not representable
comptime: 'defer' und 'errdefer' sind zur uebersetzungszeit nicht erlaubt	comptime: 'defer' and 'errdefer' are not allowed at compile time
comptime: 'emit_roh' braucht gueltiges UTF-8	comptime: 'emit_raw' needs valid UTF-8
comptime: 'emit_roh' erwartet ein zeichenkettenliteral	comptime: 'emit_raw' expects a string literal
comptime: 'emit_roh' erwartet genau ein argument	comptime: 'emit_raw' expects exactly one argument
comptime: '{}' enthaelt '..' — der zugriff bleibt im verzeichnis der quelldatei	comptime: '{}' contains '..' — access stays inside the directory of the source file
comptime: '{}' erwartet {} argumente, gefunden {}	comptime: '{}' expects {} arguments, found {}
comptime: '{}' ist ein absoluter pfad — erlaubt sind nur pfade relativ zur quelldatei	comptime: '{}' is an absolute path — only paths relative to the source file are allowed
comptime: '{}' ist hier nicht bekannt	comptime: '{}' is not known here
comptime: '{}' ist keine funktion dieses programms	comptime: '{}' is not a function of this program
comptime: '{}' ist keine lokale variable	comptime: '{}' is not a local variable
comptime: '{}' ist nicht lesbar: {}	comptime: '{}' is not readable: {}
comptime: das programm steht hier nicht zur verfuegung	comptime: the program is not available here
comptime: leerer dateiname	comptime: empty file name
comptime: mehr als {} verschachtelte aufrufe	comptime: more than {} nested calls
comptime: nur zuweisungen an eine lokale variable (kein feld, kein index, kein zeiger)	comptime: only assignments to a local variable (no field, no index, no pointer)
comptime: rest bei division durch null	comptime: remainder on division by zero
comptime: verschiebeweite ausserhalb 0..127	comptime: shift amount outside 0..127
darf 'throw' ausloesen oder durchlassen (SPEC 5.3)	may raise or pass on 'throw' (SPEC 5.3)
das GC-Feld '{}'	the GC field '{}'
das ergebnis darf nicht verworfen werden: {}	the result must not be discarded: {}
das erste argument von 'secure_zero' muss ein zeiger sein, gefunden {}	the first argument of 'secure_zero' must be a pointer, found {}
das manifest braucht eine zeile 'package <name>'	the manifest needs a line 'package <name>'
das manifest braucht eine zeile 'package <name>'\0	the manifest needs a line 'package <name>'\0
das manifest braucht eine zeile 'version <zahl.zahl.zahl>'	the manifest needs a line 'version <number.number.number>'
das manifest braucht eine zeile 'version <zahl.zahl.zahl>'\0	the manifest needs a line 'version <number.number.number>'\0
das manifest hat keinen einstiegspunkt ('start <pfad>')\0	the manifest has no entry point ('start <path>')\0
das modul '{}' gehoert zur standardbibliothek und ist im profil 'kernel' nicht verfuegbar	the module '{}' belongs to the standard library and is not available in profile 'kernel'
das programm hat keine funktion 'main'	the program has no function 'main'
datei nicht lesbar	file not readable
der aufgeschobene rumpf muss normal enden; sonst waere unbestimmt, was mit den uebrigen aufgeschobenen anweisungen geschieht	the deferred body must end normally; otherwise it would be undefined what happens to the remaining deferred statements
der ausdruck liefert keinen wert und kann nicht gebunden werden	the expression yields no value and cannot be bound
der bereich im muster ist leer (obere grenze zu klein)	the range in the pattern is empty (upper bound too small)
der bereich von 'for' braucht zwei werte desselben ganzzahltyps, gefunden {} und {}	the range of 'for' needs two values of the same integer type, found {} and {}
der eingabeoperand fuer '{}' hat den typ {}, das passt in kein register	the input operand for '{}' has type {}, that does not fit into a register
der empfaenger einer schnittstellenmethode ist '*self' oder '*mut self' ('{}.{}')	the receiver of an interface method is '*self' or '*mut self' ('{}.{}')
der empfaenger von '{}' braucht eine adresse, dieser ausdruck hat keine	the receiver of '{}' needs an address, this expression has none
der empfaenger von '{}.{}' passt nicht zu '{}'	the receiver of '{}.{}' does not fit '{}'
der erfolgstyp einer fehlerunion kann nicht '()' sein	the success type of an error union cannot be '()'
der ersatzwert von 'catch' hat typ {}, erwartet {}	the replacement value of 'catch' has type {}, expected {}
der erste parameter einer methode ist der empfaenger: 'self', '*self' oder '*mut self'	the first parameter of a method is the receiver: 'self', '*self' or '*mut self'
der kern schreibt dort die fadenkennung hin und nullt sie beim fadenende	the kernel writes the thread id there and zeroes it when the thread ends
der sammler verfolgt den heap praezise und kennt den zeiger hinter 'dyn' nicht (SPEC 3.5.3)	the collector traces the heap precisely and does not know the pointer behind 'dyn' (SPEC 3.5.3)
